%
freq per preWhitenedPer modelledPsd
2492.18750 -83.29833 -83.85397 -87.19091 
2500.00000 -90.82253 -91.33659 -87.23249 
2507.81250 -87.46304 -87.93568 -87.27390 
2515.62500 -80.95552 -81.38692 -87.31515 
2523.43750 -78.78958 -79.17990 -87.35622 
2531.25000 -79.45144 -79.80086 -87.39713 
2539.06250 -83.31753 -83.62621 -87.43786 
2546.87500 -86.44037 -86.70848 -87.47843 
2554.68750 -80.17867 -80.40638 -87.51884 
2562.50000 -76.85555 -77.04302 -87.55908 
2570.31250 -76.26580 -76.41319 -87.59915 
2578.12500 -78.02752 -78.13501 -87.63906 
2585.93750 -79.99129 -80.05903 -87.67881 
2593.75000 -76.10895 -76.13711 -87.71839 
2601.56250 -72.02907 -72.01781 -87.75781 
2609.37500 -69.76552 -69.71500 -87.79707 
2617.18750 -69.02212 -68.93250 -87.83617 
2625.00000 -69.65231 -69.52375 -87.87510 
2632.81250 -71.77028 -71.60295 -87.91388 
2640.62500 -75.93952 -75.73356 -69.05638 
2648.43750 -84.56221 -84.31780 -87.99096 
2656.25000 -93.79425 -93.51154 -88.02926 
2664.06250 -83.80567 -83.48481 -88.06741 
2671.87500 -83.04239 -82.68354 -88.10540 
2679.68750 -86.54795 -86.15126 -88.14323 
2687.50000 -97.96559 -97.53123 -88.18091 
2695.31250 -91.81980 -91.34791 -88.21843 
2703.12500 -87.64842 -87.13916 -88.25580 
2710.93750 -88.44129 -87.89482 -88.29302 
2718.75000 -91.60114 -91.01761 -88.33008 
2726.56250 -88.75881 -88.13836 -88.36699 
2734.37500 -85.17811 -84.52090 -88.40375 
2742.18750 -84.41670 -83.72288 -88.44036 
2750.00000 -86.73280 -86.00252 -88.47682 
2757.81250 -95.22962 -94.46304 -88.51313 
2765.62500 -94.57841 -93.77567 -88.54929 
2773.43750 -86.99041 -86.15166 -88.58530 
2781.25000 -85.35786 -84.48325 -88.62116 
2789.06250 -87.25368 -86.34336 -88.65687 
2796.87500 -92.17063 -91.22474 -88.69244 
2804.68750 -87.97387 -86.99256 -88.72786 
2812.50000 -83.15816 -82.14158 -88.76313 
2820.31250 -81.26746 -80.21574 -88.79826 
2828.12500 -81.56186 -80.47516 -88.83325 
2835.93750 -84.01171 -82.89017 -88.86809 
2843.75000 -88.81088 -87.65464 -88.90278 
2851.56250 -90.60894 -89.41815 -88.93733 
2859.37500 -87.53452 -86.30932 -88.97174 
2867.18750 -86.96352 -85.70405 -89.00601 
2875.00000 -89.76801 -88.47442 -89.04014 
2882.81250 -100.15086 -98.82328 -89.07412 
2890.62500 -96.99279 -95.63137 -89.10797 
2898.43750 -90.49078 -89.09566 -89.14167 
2906.25000 -89.95102 -88.52233 -89.17523 
2914.06250 -94.15268 -92.69057 -89.20866 
2921.87500 -114.07777 -112.58237 -89.24195 
